account_id,application_date,age,gender,region,education,employment_type,product_tier,channel,is_autopay,has_collateral,credit_score,monthly_income,annual_income,existing_debt,debt_to_income,loan_amount,interest_rate,term_months,monthly_payment,total_payment,num_late_payments,num_inquiries_90d,tenure_days,nps_score,customer_feedback,default_notice_date,defaulted
ACCT-0000981,2023-03-15,51.0,female,west,bachelor,full_time,standard,agent,True,False,712,4607.48,55274.5,13394.9,0.2423,74101.77,0.086,72,1321.14,95122.12,0,1.0,132,4.0,"great customer service, will recommend to friends and family. transparent fees, no hidden charges that I noticed.",,0
ACCT-0002353,2024-10-17,49.0,male,midwest,graduate,self_employed,standard,branch,True,False,850,2741.08,32746.96,7880.27,0.2406,22925.45,0.0481,72,367.21,26439.24,0,2.0,555,6.0,"easy to track payments through the mobile app. great customer service, will recommend to friends and family.",,0
ACCT-0001628,2023-12-27,50.0,male,south,bachelor,full_time,basic,mobile,True,False,612,2464.0,29196.17,9326.76,0.3195,18859.24,0.1101,72,359.1,25855.55,1,2.0,1380,5.0,"transparent fees, no hidden charges that I noticed. very smooth application process and the agent was helpful.",,0
ACCT-0000845,2023-07-16,58.0,male,south,graduate,full_time,standard,online,True,False,702,4007.0,48325.9,17541.73,0.363,38206.08,0.0911,84,616.74,51806.15,1,0.0,1017,8.0,"great customer service, will recommend to friends and family. rates were competitive and the funds came through quickly. very smooth application process and the agent was helpful.",,0
ACCT-0001933,2022-02-16,35.0,male,west,associate,self_employed,basic,online,True,False,781,2630.92,31843.2,13442.11,0.4221,37885.07,0.025,48,830.21,39850.31,1,2.0,1294,7.0,"process was fine, nothing exceptional either way.",,0
ACCT-0001348,2024-03-19,52.0,female,northeast,bachelor,self_employed,premium,online,True,True,686,3699.35,44433.8,10402.24,0.2341,57537.48,0.0535,48,1334.19,64041.12,0,2.0,334,8.0,rates were competitive and the funds came through quickly.,,0
ACCT-0001900,2023-05-18,40.0,male,midwest,high_school,full_time,basic,mobile,False,False,818,4282.36,51459.81,16317.15,0.3171,49399.0,0.0682,36,1521.21,54763.39,0,1.0,1159,5.0,easy to track payments through the mobile app.,,0
ACCT-0000402,2023-11-01,47.0,male,northeast,bachelor,full_time,standard,online,True,False,716,5423.02,65503.96,,0.3939,32434.13,0.0312,72,494.52,35605.43,0,2.0,646,7.0,"transparent fees, no hidden charges that I noticed. easy to track payments through the mobile app.",,0
ACCT-0000659,2023-07-09,18.0,male,northeast,high_school,self_employed,basic,branch,True,True,650,3499.83,41853.24,10358.07,0.2475,23809.62,0.0525,60,452.04,27122.34,1,2.0,1116,10.0,"ok experience overall, no strong feelings to share.",2024-05-29,1
ACCT-0001909,2023-09-16,45.0,male,west,high_school,part_time,standard,online,False,False,624,3886.82,46642.17,21918.45,0.4699,40631.72,0.073,72,698.52,50293.49,2,0.0,875,10.0,"ok experience overall, no strong feelings to share. took longer than expected but got approved in the end. process was fine, nothing exceptional either way.",,0
ACCT-0001988,2022-07-07,56.0,male,south,graduate,full_time,basic,mobile,False,False,752,3695.19,43793.16,8464.68,0.1933,60311.13,0.0689,36,1859.3,66934.88,1,1.0,650,9.0,"easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed.",,0
ACCT-0001755,2023-10-02,60.0,female,pacific,associate,full_time,standard,mobile,True,False,613,3160.01,37812.1,19108.99,0.5054,29898.35,0.0587,84,434.89,36530.55,0,1.0,790,6.0,documentation requirements were typical for this kind of loan.,,0
ACCT-0000279,2023-10-18,35.0,male,northeast,bachelor,full_time,basic,online,False,True,612,4283.77,51228.91,19896.77,0.3884,26645.58,0.0896,36,846.77,30483.59,2,3.0,1424,5.0,"the autopay system charged me twice in the same month. fees were not explained clearly upfront, very disappointing.",2023-12-06,1
ACCT-0000307,2022-03-23,42.0,female,northeast,graduate,full_time,basic,online,True,False,679,5414.13,64941.16,14458.76,0.2226,20902.91,0.0905,36,665.2,23947.09,0,1.0,392,10.0,"process was fine, nothing exceptional either way. took longer than expected but got approved in the end.",,0
ACCT-0000245,2022-12-05,42.0,female,west,bachelor,full_time,standard,mobile,False,False,703,3411.71,41162.14,12123.92,0.2945,33663.2,0.0859,36,1064.0,38304.12,0,0.0,1442,7.0,rates were competitive and the funds came through quickly.,,0
ACCT-0001028,2023-08-05,40.0,female,northeast,bachelor,full_time,basic,online,False,True,724,2903.87,34775.9,6282.09,0.1806,31881.73,0.0793,36,998.01,35928.22,0,2.0,930,7.0,"transparent fees, no hidden charges that I noticed. easy to track payments through the mobile app.",,0
ACCT-0001835,2023-10-25,54.0,male,south,associate,full_time,basic,mobile,False,True,746,2352.52,28503.66,9693.34,0.3401,26383.72,0.0744,36,819.94,29517.7,0,1.0,398,10.0,"process was fine, nothing exceptional either way.",,0
ACCT-0000192,2023-10-16,30.0,male,pacific,high_school,self_employed,basic,mobile,False,True,779,9832.67,118111.07,28797.63,0.2438,88309.7,0.0408,36,2610.4,93974.53,0,0.0,128,2.0,"rates were competitive and the funds came through quickly. great customer service, will recommend to friends and family.",,0
ACCT-0002079,2023-01-19,36.0,female,pacific,graduate,full_time,basic,online,False,False,722,4177.62,49947.4,8491.06,0.17,58119.82,0.0738,60,1161.36,69681.72,0,2.0,820,3.0,"took longer than expected but got approved in the end. still evaluating against other offers from competitor banks. process was fine, nothing exceptional either way.",,0
ACCT-0000336,2022-06-25,33.0,male,midwest,graduate,self_employed,premium,online,False,False,581,7408.9,88653.71,20575.83,0.2321,27596.62,0.1042,12,2431.54,29178.5,1,1.0,1101,5.0,"the autopay system charged me twice in the same month. fees were not explained clearly upfront, very disappointing. support never returned my calls about the missed payment.",2023-05-15,1
ACCT-0001221,2024-02-16,37.0,male,south,high_school,full_time,standard,branch,True,False,730,6174.71,73818.64,18704.4,0.2534,26322.8,0.0911,36,838.39,30181.89,1,2.0,582,3.0,documentation requirements were typical for this kind of loan. still evaluating against other offers from competitor banks.,,0
ACCT-0001118,2023-03-06,50.0,male,west,bachelor,full_time,standard,mobile,True,False,661,2370.29,28438.63,38121.02,1.3405,29933.73,0.0866,60,616.51,36990.34,2,3.0,295,10.0,"great customer service, will recommend to friends and family. easy to track payments through the mobile app.",,0
ACCT-0001402,2022-03-11,32.0,female,midwest,bachelor,full_time,premium,online,True,False,622,7570.83,91185.74,22249.17,0.244,66864.51,0.0795,84,1040.39,87392.94,1,1.0,318,3.0,very smooth application process and the agent was helpful. rates were competitive and the funds came through quickly.,,0
ACCT-0000741,2024-07-22,49.0,female,midwest,bachelor,full_time,basic,online,False,True,612,4653.92,55652.35,22660.01,0.4072,77782.12,0.1482,72,1637.28,117884.47,2,3.0,676,9.0,"rates were competitive and the funds came through quickly. transparent fees, no hidden charges that I noticed. great customer service, will recommend to friends and family.",,0
ACCT-0001335,2023-11-14,50.0,female,midwest,high_school,full_time,basic,online,True,False,690,7605.62,91420.19,21979.71,0.2404,53715.98,0.117,72,1041.68,75000.78,0,2.0,790,9.0,rates were competitive and the funds came through quickly. easy to track payments through the mobile app.,,0
ACCT-0001430,2023-11-08,45.0,male,pacific,high_school,self_employed,basic,online,False,False,647,3575.52,43212.7,11250.65,0.2604,49576.62,0.1118,24,2314.88,55557.09,1,1.0,1031,5.0,rates were competitive and the funds came through quickly. easy to track payments through the mobile app.,,0
ACCT-0002226,2024-09-28,41.0,male,pacific,bachelor,full_time,standard,online,True,True,806,6517.59,78274.43,28827.03,0.3683,53579.16,0.0821,48,1313.26,63036.69,1,1.0,1362,7.0,"process was fine, nothing exceptional either way. took longer than expected but got approved in the end.",,0
ACCT-0001589,2023-07-25,37.0,male,midwest,associate,full_time,standard,agent,True,False,722,1614.1,19574.66,10623.95,0.5427,19673.02,0.0996,24,907.44,21778.49,2,0.0,640,7.0,"ok experience overall, no strong feelings to share. still evaluating against other offers from competitor banks.",,0
ACCT-0001782,2023-05-06,44.0,female,northeast,high_school,full_time,basic,mobile,False,False,808,4106.52,49491.68,21208.93,0.4285,51802.32,0.0721,72,888.43,63966.83,2,0.0,586,6.0,still evaluating against other offers from competitor banks.,,0
ACCT-0002190,2022-09-04,42.0,male,northeast,associate,full_time,basic,online,False,False,712,3806.23,45896.5,17315.34,0.3773,51247.46,0.155,24,2496.95,59926.71,0,0.0,1355,6.0,very smooth application process and the agent was helpful. rates were competitive and the funds came through quickly.,,0
ACCT-0001934,2024-11-17,42.0,female,south,bachelor,full_time,premium,online,False,True,709,5133.18,61697.66,19341.98,0.3135,59554.83,0.0547,48,1384.1,66436.66,0,1.0,839,6.0,still evaluating against other offers from competitor banks. took longer than expected but got approved in the end.,,0
ACCT-0001390,2024-10-09,34.0,female,northeast,high_school,full_time,basic,branch,True,False,662,2945.9,35652.82,13864.38,0.3889,33451.77,0.0824,72,590.47,42513.69,1,3.0,736,5.0,documentation requirements were typical for this kind of loan.,,0
ACCT-0001184,2024-01-10,51.0,male,pacific,high_school,full_time,basic,mobile,True,False,794,4474.33,54026.44,21703.58,0.4017,19202.23,0.0361,12,1631.63,19579.54,3,1.0,1040,8.0,"transparent fees, no hidden charges that I noticed. easy to track payments through the mobile app.",,0
ACCT-0000569,2024-01-22,22.0,male,west,associate,part_time,basic,online,False,False,756,4507.12,54099.16,13199.53,0.244,28170.06,0.0589,48,660.13,31686.42,3,0.0,1129,3.0,"ok experience overall, no strong feelings to share. process was fine, nothing exceptional either way.",,0
ACCT-0000769,2023-10-08,52.0,male,northeast,bachelor,full_time,standard,online,True,False,687,4732.61,56675.52,18017.64,0.3179,50042.78,0.0535,60,952.37,57142.18,1,2.0,475,3.0,"transparent fees, no hidden charges that I noticed. very smooth application process and the agent was helpful. easy to track payments through the mobile app.",,0
ACCT-0002255,2022-03-27,29.0,female,midwest,bachelor,part_time,standard,branch,False,False,737,4872.45,58238.47,12999.38,0.2232,77097.52,0.0716,72,1320.2,95054.49,0,1.0,1135,6.0,"process was fine, nothing exceptional either way. ok experience overall, no strong feelings to share.",,0
ACCT-0000860,2022-02-15,34.0,male,midwest,high_school,full_time,standard,mobile,False,False,730,6790.37,81019.16,13709.76,0.1692,85271.67,0.0546,60,1627.11,97626.45,2,1.0,660,8.0,"easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed.",,0
ACCT-0001030,2024-10-10,48.0,female,northeast,bachelor,full_time,standard,mobile,False,False,802,5169.25,61911.42,10846.27,0.1752,59098.06,0.0807,48,1444.73,69347.15,0,1.0,677,6.0,"rates were competitive and the funds came through quickly. transparent fees, no hidden charges that I noticed.",,0
ACCT-0000109,2024-04-06,25.0,female,south,bachelor,full_time,basic,agent,False,False,777,4012.29,47729.65,14058.09,0.2945,48245.78,0.0401,12,4108.36,49300.32,1,1.0,1426,8.0,"took longer than expected but got approved in the end. ok experience overall, no strong feelings to share.",,0
ACCT-0000914,2024-01-08,18.0,female,midwest,bachelor,full_time,basic,mobile,True,False,778,4062.02,49221.44,9566.07,0.1943,65868.95,0.0854,36,2080.46,74896.69,1,0.0,578,5.0,rates were competitive and the funds came through quickly. easy to track payments through the mobile app.,,0
ACCT-0001453,2024-08-10,42.0,nonbinary,midwest,bachelor,self_employed,premium,branch,True,True,684,3214.6,38801.16,10465.14,0.2697,17200.82,0.0707,84,260.19,21856.02,1,0.0,625,4.0,easy to track payments through the mobile app.,,0
ACCT-0000993,2023-05-24,27.0,female,west,bachelor,full_time,standard,online,True,True,710,3782.22,45172.97,25519.35,0.5649,28237.16,0.0845,48,695.33,33375.86,0,1.0,578,5.0,rates were competitive and the funds came through quickly. very smooth application process and the agent was helpful.,,0
ACCT-0001510,2024-10-31,51.0,male,northeast,associate,full_time,standard,branch,True,True,850,5763.58,68931.0,,0.1988,41150.31,0.0563,12,3534.59,42415.03,0,2.0,215,5.0,"very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed.",,0
ACCT-0001645,2023-04-20,29.0,female,northeast,bachelor,self_employed,basic,online,False,True,787,4363.91,52238.99,14946.86,0.2861,58120.97,0.0855,24,2643.25,63438.04,1,0.0,455,2.0,"ok experience overall, no strong feelings to share.",,0
ACCT-0000020,2024-10-02,43.0,female,south,graduate,self_employed,standard,branch,True,False,734,2239.74,27103.86,7952.29,0.2934,16928.92,0.0462,72,269.63,19413.47,1,2.0,670,10.0,"took longer than expected but got approved in the end. ok experience overall, no strong feelings to share.",,0
ACCT-0002434,2024-11-25,43.0,female,south,high_school,full_time,basic,agent,False,False,732,1539.99,18226.73,7611.46,0.4176,23413.33,0.0933,12,2051.17,24614.03,1,0.0,835,4.0,"ok experience overall, no strong feelings to share. took longer than expected but got approved in the end.",,0
ACCT-0000612,2024-02-29,18.0,male,midwest,associate,contract,basic,branch,True,True,563,9189.95,110633.79,20859.94,0.1885,90657.88,0.1434,36,3113.33,112079.92,0,0.0,135,9.0,rates were competitive and the funds came through quickly. easy to track payments through the mobile app.,,0
ACCT-0001349,2024-04-15,41.0,male,south,graduate,self_employed,standard,online,False,False,582,3490.99,41715.37,21460.62,0.5145,36729.33,0.0994,24,1693.86,40652.53,4,0.0,896,7.0,documentation requirements were typical for this kind of loan. still evaluating against other offers from competitor banks. took longer than expected but got approved in the end.,,0
ACCT-0001478,2023-12-28,44.0,male,northeast,bachelor,self_employed,standard,online,True,False,586,5208.59,62774.98,14128.09,0.2251,76366.88,0.1031,84,1279.86,107508.46,1,1.0,1237,10.0,the autopay system charged me twice in the same month.,2024-05-20,1
ACCT-0000556,2022-03-05,36.0,male,west,high_school,full_time,basic,online,False,True,687,4324.37,51839.45,25326.7,0.4886,46435.78,0.1327,24,2213.61,53126.59,1,1.0,1008,6.0,"took longer than expected but got approved in the end. ok experience overall, no strong feelings to share.",,0
ACCT-0001703,2024-02-25,45.0,female,west,associate,self_employed,basic,online,True,False,671,11154.2,133501.81,23920.96,0.1792,116945.93,0.1131,36,3845.61,138442.09,0,0.0,134,,,,0
ACCT-0000400,2023-12-02,30.0,female,pacific,associate,self_employed,premium,online,False,False,710,19552.11,234861.42,,0.1679,68565.11,0.0856,12,5982.14,71785.65,1,1.0,268,10.0,"easy to track payments through the mobile app. great customer service, will recommend to friends and family.",,0
ACCT-0000175,2024-12-08,46.0,male,pacific,associate,full_time,standard,online,True,True,700,3887.38,46239.33,17414.79,0.3766,61557.23,0.0889,36,1954.42,70359.21,1,0.0,149,5.0,"took longer than expected but got approved in the end. still evaluating against other offers from competitor banks. ok experience overall, no strong feelings to share.",,0
ACCT-0001486,2022-05-28,48.0,female,northeast,associate,part_time,standard,online,True,True,625,7325.21,88156.25,16138.13,0.1831,76485.15,0.0851,48,1885.63,90510.42,2,2.0,345,4.0,"very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed.",,0
ACCT-0002027,2024-01-13,52.0,male,northeast,bachelor,full_time,basic,online,True,True,649,1959.64,23267.28,9867.64,0.4241,5929.78,0.0874,48,146.83,7047.96,0,2.0,1009,4.0,rates were competitive and the funds came through quickly.,,0
ACCT-0001082,2024-03-09,44.0,female,south,associate,contract,basic,mobile,False,True,558,2508.72,30388.21,15497.32,0.51,20737.44,0.1249,36,693.64,24971.18,0,1.0,1424,7.0,"process was fine, nothing exceptional either way. still evaluating against other offers from competitor banks. documentation requirements were typical for this kind of loan.",,0
ACCT-0001366,2024-01-13,23.0,female,south,bachelor,self_employed,premium,branch,True,True,715,5611.9,67056.98,20120.86,0.3001,50563.35,0.095,84,826.3,69409.35,1,1.0,493,5.0,"very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed.",,0
ACCT-0001588,2024-07-02,36.0,male,midwest,high_school,full_time,standard,mobile,False,True,619,2426.68,29333.05,17655.69,0.6019,13133.57,0.0744,84,201.03,16886.56,2,3.0,184,4.0,very smooth application process and the agent was helpful.,,0
ACCT-0001363,2024-02-03,22.0,female,pacific,bachelor,contract,basic,online,False,True,707,5906.83,70749.23,19112.2,0.2701,68740.08,0.133,60,1574.58,94474.86,0,1.0,731,10.0,easy to track payments through the mobile app. very smooth application process and the agent was helpful.,,0
ACCT-0001131,2023-11-29,38.0,female,midwest,bachelor,self_employed,premium,branch,False,False,745,2315.43,27755.19,29711.63,1.0705,32457.89,0.0521,36,975.92,35133.03,2,1.0,1400,6.0,easy to track payments through the mobile app. very smooth application process and the agent was helpful.,,0
ACCT-0001932,2024-01-25,33.0,female,northeast,associate,full_time,standard,branch,True,True,626,5053.27,60878.66,25314.04,0.4158,55861.07,0.0835,60,1142.1,68525.78,0,0.0,1341,7.0,support never returned my calls about the missed payment. the autopay system charged me twice in the same month.,2024-03-28,1
ACCT-0002009,2024-08-29,49.0,female,midwest,high_school,full_time,basic,online,False,True,640,3204.22,38778.7,12185.57,0.3142,54238.95,0.0928,36,1731.82,62345.35,0,4.0,496,5.0,"took longer than expected but got approved in the end. ok experience overall, no strong feelings to share. still evaluating against other offers from competitor banks.",,0
ACCT-0002440,2022-06-22,30.0,female,northeast,associate,self_employed,premium,agent,True,False,628,9749.81,116713.31,31402.07,0.2691,97154.3,0.1067,84,1646.54,138309.59,0,1.0,57,7.0,"transparent fees, no hidden charges that I noticed. great customer service, will recommend to friends and family.",,0
ACCT-0002439,2022-10-08,63.0,female,south,high_school,self_employed,standard,online,True,False,654,3585.86,43109.25,19644.57,0.4557,24929.75,0.1018,12,2193.81,26325.71,2,1.0,573,7.0,easy to track payments through the mobile app. very smooth application process and the agent was helpful.,,0
ACCT-0001144,2022-12-26,47.0,female,west,bachelor,full_time,standard,online,False,False,793,2604.73,31350.81,13102.9,0.4179,15100.74,0.0629,12,1301.68,15620.13,2,2.0,1418,10.0,took longer than expected but got approved in the end.,,0
ACCT-0002287,2022-06-28,27.0,female,south,bachelor,part_time,premium,mobile,True,False,665,2961.71,35658.6,22026.36,0.6177,30421.41,0.0774,84,470.22,39498.66,1,1.0,629,1.0,"process was fine, nothing exceptional either way. still evaluating against other offers from competitor banks.",,0
ACCT-0000730,2022-10-08,32.0,female,pacific,bachelor,full_time,premium,branch,False,False,613,3765.93,45147.74,18907.57,0.4188,35685.22,0.0597,48,837.58,40204.04,2,0.0,1403,4.0,"very smooth application process and the agent was helpful. great customer service, will recommend to friends and family. transparent fees, no hidden charges that I noticed.",,0
ACCT-0000520,2024-12-12,48.0,female,midwest,associate,self_employed,basic,online,True,False,708,5351.84,63978.4,13491.83,0.2109,87572.8,0.0472,36,2613.54,94087.3,0,2.0,952,5.0,"very smooth application process and the agent was helpful. great customer service, will recommend to friends and family.",,0
ACCT-0000289,2022-09-11,43.0,male,west,associate,full_time,standard,mobile,False,True,735,5787.65,69131.44,11248.22,0.1627,76648.48,0.0502,84,1084.04,91059.31,0,1.0,305,6.0,"ok experience overall, no strong feelings to share. process was fine, nothing exceptional either way. still evaluating against other offers from competitor banks.",,0
ACCT-0001166,2023-06-27,38.0,female,northeast,graduate,contract,basic,online,False,False,726,8751.98,104973.73,37634.13,0.3585,37472.67,0.0909,60,779.48,46768.77,0,0.0,211,10.0,rates were competitive and the funds came through quickly.,,0
ACCT-0001449,2023-03-28,31.0,male,midwest,graduate,full_time,basic,branch,False,False,766,5260.26,63158.75,21480.61,0.3401,69600.6,0.0924,36,2221.02,79956.55,1,0.0,637,10.0,"ok experience overall, no strong feelings to share. still evaluating against other offers from competitor banks.",,0
ACCT-0001016,2022-06-09,61.0,male,south,bachelor,self_employed,standard,mobile,False,True,603,3889.36,46534.08,18586.59,0.3994,44561.24,0.1001,72,825.78,59455.95,0,0.0,795,5.0,"process was fine, nothing exceptional either way. documentation requirements were typical for this kind of loan. took longer than expected but got approved in the end.",,0
ACCT-0002363,2024-07-07,45.0,male,midwest,high_school,full_time,standard,branch,False,False,738,7267.84,87168.44,24128.78,0.2768,50306.36,0.0758,72,871.69,62762.04,0,3.0,1138,4.0,"transparent fees, no hidden charges that I noticed. great customer service, will recommend to friends and family.",,0
ACCT-0001682,2022-12-03,27.0,female,south,bachelor,full_time,standard,mobile,True,True,753,7308.61,87371.7,48938.69,0.5601,102799.73,0.0751,12,8919.05,107028.63,2,1.0,920,7.0,"transparent fees, no hidden charges that I noticed. easy to track payments through the mobile app. great customer service, will recommend to friends and family.",,0
ACCT-0000313,2023-01-20,35.0,male,south,associate,full_time,basic,online,True,False,775,4478.32,53707.03,9577.5,0.1783,22301.7,0.0588,84,324.5,27258.13,3,0.0,162,6.0,documentation requirements were typical for this kind of loan.,,0
ACCT-0000856,2023-06-07,18.0,female,west,associate,part_time,basic,mobile,True,False,673,2902.61,35415.06,6077.24,0.1716,34952.07,0.1167,24,1639.91,39357.77,1,0.0,1021,1.0,still evaluating against other offers from competitor banks.,,0
ACCT-0000840,2024-02-28,36.0,female,south,bachelor,full_time,standard,branch,False,True,575,4201.12,50584.22,27643.59,0.5465,33918.77,0.0854,24,1542.4,37017.51,0,1.0,783,,"documentation requirements were typical for this kind of loan. ok experience overall, no strong feelings to share.",,0
ACCT-0002249,2023-09-18,35.0,female,northeast,high_school,full_time,standard,branch,True,True,672,7575.45,90968.2,20795.34,0.2286,117894.08,0.0576,36,3573.77,128655.63,0,3.0,178,7.0,took longer than expected but got approved in the end.,,0
ACCT-0002478,2022-12-17,41.0,male,pacific,bachelor,contract,basic,branch,False,True,644,2951.21,35112.81,14975.02,0.4265,9284.66,0.0829,60,189.57,11374.13,1,4.0,339,3.0,easy to track payments through the mobile app.,,0
ACCT-0002165,2024-03-08,18.0,female,northeast,graduate,full_time,basic,online,False,True,755,5059.52,60568.5,17924.98,0.2959,32532.82,0.0617,24,1444.4,34665.52,0,1.0,760,,easy to track payments through the mobile app.,,0
ACCT-0000241,2024-08-15,47.0,male,northeast,high_school,self_employed,standard,mobile,True,False,610,3058.2,36642.45,22855.85,0.6238,41451.25,0.0768,24,1868.71,44849.13,1,2.0,207,10.0,"rates were competitive and the funds came through quickly. transparent fees, no hidden charges that I noticed.",,0
ACCT-0000719,2024-09-17,38.0,male,northeast,bachelor,full_time,standard,online,True,True,735,1926.46,22975.36,4869.91,0.212,16648.96,0.0702,12,1440.71,17288.58,0,2.0,261,3.0,still evaluating against other offers from competitor banks. took longer than expected but got approved in the end.,,0
ACCT-0001221,2024-02-16,37.0,male,south,high_school,full_time,standard,branch,True,False,730,6174.71,73818.64,18704.4,0.2534,26322.8,0.0911,36,838.39,30181.89,1,2.0,582,3.0,documentation requirements were typical for this kind of loan. still evaluating against other offers from competitor banks.,,0
ACCT-0002441,2024-07-31,26.0,female,midwest,high_school,part_time,premium,branch,False,True,734,7097.91,85521.17,14967.75,0.175,45027.72,0.1074,12,3974.19,47690.31,0,2.0,995,10.0,took longer than expected but got approved in the end. documentation requirements were typical for this kind of loan.,,0
ACCT-0000340,2022-08-09,28.0,male,south,graduate,full_time,basic,online,True,False,613,2402.59,28959.92,14414.84,0.4978,23287.33,0.1223,60,520.69,31241.16,0,2.0,957,,"process was fine, nothing exceptional either way. took longer than expected but got approved in the end.",,0
ACCT-0002305,2023-02-26,48.0,female,midwest,high_school,full_time,premium,online,False,False,721,5622.35,67125.07,17293.18,0.2576,44221.33,0.0387,60,811.88,48713.02,0,2.0,363,7.0,"great customer service, will recommend to friends and family. easy to track payments through the mobile app.",,0
ACCT-0001758,2023-05-04,31.0,female,west,associate,full_time,basic,agent,True,False,818,7372.88,88227.96,16166.95,0.1832,64760.11,0.0502,48,1491.85,71608.78,1,0.0,749,10.0,very smooth application process and the agent was helpful. rates were competitive and the funds came through quickly.,,0
ACCT-0002227,2023-09-25,65.0,female,west,bachelor,self_employed,basic,online,False,True,646,2824.77,34225.77,21691.02,0.6338,41533.22,0.0806,84,648.54,54477.07,1,3.0,780,2.0,easy to track payments through the mobile app. rates were competitive and the funds came through quickly.,,0
ACCT-0000114,2024-06-14,32.0,male,northeast,associate,full_time,basic,online,False,False,675,5835.94,69788.38,14424.6,0.2067,62293.81,0.1131,72,1195.53,86078.36,1,0.0,1169,8.0,"transparent fees, no hidden charges that I noticed.",,0
ACCT-0000642,2023-09-16,43.0,male,pacific,high_school,part_time,basic,agent,False,False,777,2381.58,28468.83,13247.6,0.4653,31222.4,0.0845,24,1418.54,34044.88,3,3.0,997,7.0,"took longer than expected but got approved in the end. process was fine, nothing exceptional either way.",,0
ACCT-0001541,2023-11-21,,male,south,graduate,part_time,standard,online,False,False,595,4101.43,49376.24,26032.05,0.5272,48055.59,0.1179,60,1063.85,63831.14,0,0.0,1159,4.0,"process was fine, nothing exceptional either way.",2025-04-12,1
ACCT-0000902,2022-12-05,18.0,male,west,bachelor,contract,basic,branch,True,True,503,7801.11,93770.56,29931.01,0.3192,55341.04,0.1413,72,1144.12,82376.6,1,0.0,1210,3.0,the autopay system charged me twice in the same month. support never returned my calls about the missed payment.,2023-02-08,1
ACCT-0000393,2024-01-21,37.0,female,south,high_school,full_time,premium,mobile,True,False,572,2638.02,31412.6,9565.57,0.3045,25935.23,0.1331,72,524.87,37790.68,0,2.0,1220,5.0,"process was fine, nothing exceptional either way. took longer than expected but got approved in the end. still evaluating against other offers from competitor banks.",,0
