account_id,application_date,age,gender,region,education,employment_type,product_tier,channel,is_autopay,has_collateral,credit_score,monthly_income,annual_income,existing_debt,debt_to_income,loan_amount,interest_rate,term_months,monthly_payment,total_payment,num_late_payments,num_inquiries_90d,tenure_days,nps_score,customer_feedback,default_notice_date,defaulted,num_dependents,risk_band
ACCT-0003336,2024-09-23,18.0,female,west,high_school,full_time,premium,mobile,True,True,714,6349.04,76020.52,31434.88,0.4135,61159.73,0.0699,24,2738.11,65714.66,1,0.0,715,6.0,"rates were competitive and the funds came through quickly. great customer service, will recommend to friends and family.",,0,0,medium
ACCT-0001224,2024-11-28,30.0,female,northeast,bachelor,full_time,basic,online,True,False,673,2025.87,24420.31,11602.62,0.4751,6957.47,0.1285,84,126.0,10583.59,2,1.0,260,5.0,documentation requirements were typical for this kind of loan.,,0,0,medium
ACCT-0005527,2024-09-14,46.0,female,midwest,high_school,full_time,standard,branch,False,False,695,3513.4,42284.84,23526.7,0.5564,29732.03,0.0697,12,2572.16,30865.91,0,2.0,626,9.0,"great customer service, will recommend to friends and family. easy to track payments through the mobile app.",,0,0,medium
ACCT-0005244,2024-10-02,39.0,female,midwest,associate,full_time,basic,mobile,False,True,614,3187.68,38678.29,24460.04,0.6324,50018.14,0.1319,12,4471.99,53663.94,1,0.0,758,4.0,"still evaluating against other offers from competitor banks. took longer than expected but got approved in the end. process was fine, nothing exceptional either way.",,0,3,high
ACCT-0005529,2022-04-17,53.0,female,south,bachelor,part_time,basic,online,True,True,592,3955.24,47362.15,18905.55,0.3992,60648.94,0.1259,24,2871.72,68921.34,2,0.0,1169,4.0,"very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed.",,0,2,high
ACCT-0004521,2023-06-19,26.0,male,midwest,high_school,full_time,basic,mobile,True,False,653,3789.75,45736.52,17614.24,0.3851,56339.44,0.1005,24,2601.18,62428.32,0,1.0,752,8.0,"process was fine, nothing exceptional either way.",,0,2,high
ACCT-0001945,2024-01-01,59.0,female,northeast,bachelor,full_time,standard,mobile,True,False,645,2713.71,32718.56,11240.35,0.3435,25758.67,0.0827,72,455.09,32766.27,1,1.0,536,4.0,"ok experience overall, no strong feelings to share.",,0,1,high
ACCT-0002944,2024-03-21,18.0,male,pacific,bachelor,full_time,basic,online,False,True,736,3360.37,40746.5,6645.3,0.1631,11241.5,0.1193,24,528.82,12691.56,0,0.0,1225,5.0,"great customer service, will recommend to friends and family. transparent fees, no hidden charges that I noticed. very smooth application process and the agent was helpful.",,0,2,medium
ACCT-0004350,2022-01-03,26.0,female,south,high_school,full_time,basic,branch,True,True,725,4098.65,49426.24,,0.4973,61759.31,0.051,24,2712.14,65091.39,0,1.0,571,6.0,easy to track payments through the mobile app.,,0,1,medium
ACCT-0001968,2023-01-08,56.0,male,midwest,bachelor,full_time,standard,agent,False,True,768,3000.51,35409.65,11006.84,0.3108,41102.04,0.072,36,1272.9,45824.36,0,0.0,1393,3.0,documentation requirements were typical for this kind of loan. still evaluating against other offers from competitor banks.,,0,1,low
ACCT-0002482,2023-05-29,34.0,male,south,high_school,full_time,premium,online,False,False,682,4094.2,49327.17,14964.56,0.3034,31365.88,0.1012,48,797.35,38272.82,0,1.0,354,7.0,very smooth application process and the agent was helpful.,,0,1,medium
ACCT-0001637,2023-03-20,37.0,female,northeast,high_school,full_time,premium,branch,True,False,777,8248.84,98787.55,22676.05,0.2295,56644.68,0.0628,84,835.06,70144.83,0,2.0,1318,8.0,"ok experience overall, no strong feelings to share.",,0,1,low
ACCT-0005324,2022-09-20,,male,south,high_school,full_time,standard,mobile,False,False,629,4426.62,53403.81,15707.69,0.2941,22319.09,0.1103,24,1040.59,24974.18,0,3.0,567,4.0,"ok experience overall, no strong feelings to share. documentation requirements were typical for this kind of loan.",,0,2,high
ACCT-0002396,2022-10-11,31.0,female,south,bachelor,self_employed,basic,mobile,False,True,660,5982.42,71542.24,27322.17,0.3819,98034.13,0.0799,84,1527.3,128292.83,0,1.0,428,7.0,"rates were competitive and the funds came through quickly. transparent fees, no hidden charges that I noticed.",,0,3,high
ACCT-0004348,2024-06-07,32.0,male,northeast,bachelor,full_time,premium,mobile,True,True,758,3172.91,37737.66,9423.1,0.2497,12985.95,0.1012,84,216.37,18175.4,0,1.0,130,3.0,"easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed.",,0,1,low
ACCT-0004021,2024-12-24,58.0,female,south,graduate,full_time,basic,online,True,False,577,6918.47,82876.44,21491.5,0.2593,84535.3,0.0935,24,3875.73,93017.62,1,1.0,136,10.0,"great customer service, will recommend to friends and family. easy to track payments through the mobile app.",,0,0,very_high
ACCT-0004857,2023-11-30,52.0,female,midwest,graduate,contract,basic,mobile,False,False,490,2367.53,28655.64,17428.6,0.6082,27230.93,0.1428,72,565.16,40691.63,0,0.0,896,3.0,"fees were not explained clearly upfront, very disappointing. support never returned my calls about the missed payment.",2024-03-07,1,0,very_high
ACCT-0003165,2022-04-22,53.0,male,south,associate,part_time,standard,mobile,True,True,697,3053.75,36809.32,8845.22,0.2403,27946.98,0.0977,72,514.53,37045.98,1,1.0,741,9.0,"documentation requirements were typical for this kind of loan. process was fine, nothing exceptional either way.",,0,2,medium
ACCT-0004624,2024-07-16,40.0,female,midwest,high_school,part_time,standard,online,True,False,643,3494.28,41703.14,28961.06,0.6945,16026.44,0.0325,60,289.76,17385.87,2,2.0,792,9.0,"great customer service, will recommend to friends and family.",,0,1,high
ACCT-0000335,2022-08-08,28.0,female,west,bachelor,part_time,basic,mobile,True,False,678,2616.15,31063.74,20074.73,0.6462,42264.01,0.099,36,1361.75,49022.86,3,3.0,631,10.0,documentation requirements were typical for this kind of loan.,,0,1,medium
ACCT-0001370,2023-08-20,46.0,female,south,bachelor,full_time,standard,online,True,True,730,4354.97,51930.85,9092.83,0.1751,13129.78,0.0982,60,277.79,16667.39,1,2.0,1279,10.0,"very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed.",,0,2,medium
ACCT-0005475,2023-03-24,43.0,female,pacific,bachelor,full_time,premium,online,True,False,763,5447.58,65693.27,12328.89,0.1877,28678.62,0.0767,60,577.01,34620.45,2,1.0,638,7.0,documentation requirements were typical for this kind of loan.,,0,0,low
ACCT-0002602,2023-12-17,28.0,female,midwest,high_school,full_time,basic,branch,True,True,620,6263.71,75689.89,35384.8,0.4675,54688.5,0.0797,84,851.7,71542.69,1,0.0,1408,7.0,"easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed.",,0,1,high
ACCT-0003166,2022-06-22,41.0,female,northeast,bachelor,full_time,basic,mobile,False,True,689,7219.22,86451.76,26719.94,0.3091,39759.24,0.0773,48,965.66,46351.71,1,0.0,233,7.0,"easy to track payments through the mobile app. very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed.",,0,1,medium
ACCT-0002786,2024-01-12,47.0,male,south,graduate,full_time,basic,agent,False,False,757,5920.41,70922.96,12809.73,0.1806,59390.25,0.0771,84,917.21,77045.47,0,3.0,1233,6.0,"very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed.",,0,2,low
ACCT-0004114,2023-05-27,46.0,male,northeast,bachelor,full_time,basic,mobile,True,False,633,10532.81,126350.45,26787.27,0.212,166715.12,0.0902,12,14581.09,174973.03,1,0.0,496,7.0,"great customer service, will recommend to friends and family.",,0,3,high
ACCT-0000482,2023-07-27,,male,northeast,bachelor,full_time,basic,online,True,True,767,2741.38,33110.61,13388.13,0.4043,37329.94,0.0969,48,941.23,45179.17,0,0.0,1113,4.0,still evaluating against other offers from competitor banks. documentation requirements were typical for this kind of loan.,,0,1,low
ACCT-0001092,2022-05-03,30.0,female,south,high_school,full_time,premium,mobile,True,False,594,4677.92,56171.73,14646.7,0.2607,60785.65,0.0974,60,1283.71,77022.76,0,5.0,234,7.0,very smooth application process and the agent was helpful.,,0,3,high
ACCT-0002412,2024-08-13,50.0,male,south,high_school,full_time,basic,branch,True,False,701,6117.73,73893.06,34020.18,0.4604,90854.12,0.0836,72,1609.03,115850.03,1,1.0,497,5.0,"took longer than expected but got approved in the end. ok experience overall, no strong feelings to share. documentation requirements were typical for this kind of loan.",,0,1,medium
ACCT-0002836,2023-05-04,50.0,female,south,high_school,full_time,basic,online,False,False,609,3408.49,40822.5,8483.29,0.2078,22876.24,0.1223,72,449.92,32394.45,0,0.0,289,8.0,"transparent fees, no hidden charges that I noticed. very smooth application process and the agent was helpful.",,0,1,high
ACCT-0005465,2022-01-12,51.0,female,northeast,bachelor,part_time,basic,online,True,False,754,8451.72,101761.48,31000.84,0.3046,55068.04,0.0779,36,1720.32,61931.7,0,1.0,481,,"great customer service, will recommend to friends and family.",,0,4,low
ACCT-0005150,2022-11-29,64.0,female,south,graduate,full_time,basic,branch,True,True,697,5472.64,65660.25,22156.24,0.3374,28337.05,0.0849,84,448.63,37684.59,0,1.0,1435,5.0,documentation requirements were typical for this kind of loan. still evaluating against other offers from competitor banks. took longer than expected but got approved in the end.,,0,4,medium
ACCT-0002053,2023-11-19,49.0,female,south,graduate,self_employed,basic,branch,True,True,656,5625.83,67526.56,23938.87,0.3545,81128.45,0.0813,72,1427.5,102779.92,0,0.0,1185,7.0,"process was fine, nothing exceptional either way.",2024-02-28,1,2,high
ACCT-0002940,2023-07-07,78.0,male,midwest,graduate,self_employed,standard,online,True,False,775,4129.9,49488.55,9577.77,0.1935,12571.66,0.0855,48,310.18,14888.87,0,1.0,1314,7.0,"ok experience overall, no strong feelings to share. documentation requirements were typical for this kind of loan.",,0,2,low
ACCT-0004050,2022-08-14,38.0,male,pacific,graduate,part_time,standard,mobile,True,False,697,5420.82,64719.53,11948.74,0.1846,82210.16,0.0618,72,1369.6,98611.49,0,0.0,320,7.0,very smooth application process and the agent was helpful. easy to track payments through the mobile app.,,0,1,medium
ACCT-0002586,2022-06-11,53.0,female,south,associate,full_time,basic,mobile,False,False,781,2121.95,25495.66,8945.93,0.3509,30405.79,0.0747,84,465.94,39139.18,1,1.0,579,7.0,"very smooth application process and the agent was helpful. easy to track payments through the mobile app. great customer service, will recommend to friends and family.",,0,1,low
ACCT-0005093,2023-11-15,48.0,male,south,bachelor,full_time,basic,online,False,False,582,4657.1,55749.57,26482.91,0.475,55562.38,0.1291,72,1112.85,80125.35,0,1.0,175,1.0,"process was fine, nothing exceptional either way. still evaluating against other offers from competitor banks. took longer than expected but got approved in the end.",2025-02-15,1,0,high
ACCT-0001759,2022-01-08,58.0,male,west,bachelor,full_time,standard,mobile,True,False,749,2445.71,29348.71,18241.9,0.6216,25044.55,0.0807,12,2179.36,26152.38,1,0.0,1303,6.0,"transparent fees, no hidden charges that I noticed.",,0,4,low
ACCT-0004657,2023-10-26,52.0,female,west,graduate,full_time,standard,online,True,False,632,3810.14,45952.59,9356.06,0.2036,61761.75,0.104,72,1156.67,83280.29,2,4.0,576,4.0,still evaluating against other offers from competitor banks. documentation requirements were typical for this kind of loan.,,0,1,high
ACCT-0003116,2024-11-04,33.0,female,west,bachelor,part_time,standard,branch,False,False,850,6682.68,80210.17,24114.06,0.3006,80297.03,0.068,24,3587.94,86110.64,0,2.0,882,9.0,"documentation requirements were typical for this kind of loan. process was fine, nothing exceptional either way.",,0,4,low
ACCT-0001127,2024-10-07,48.0,female,south,graduate,full_time,basic,online,False,False,685,2308.39,27477.0,9089.65,0.3308,35613.29,0.0819,72,627.8,45201.29,0,1.0,646,8.0,very smooth application process and the agent was helpful.,,0,3,medium
ACCT-0001163,2024-01-29,32.0,female,west,graduate,full_time,standard,mobile,False,False,674,4878.71,58435.61,12201.64,0.2088,42193.08,0.0565,24,1863.34,44720.05,0,2.0,999,10.0,"ok experience overall, no strong feelings to share. process was fine, nothing exceptional either way. took longer than expected but got approved in the end.",,0,0,medium
ACCT-0002138,2023-12-05,50.0,male,south,high_school,part_time,standard,mobile,True,True,734,5626.04,67621.45,18268.64,0.2702,39851.06,0.1002,12,3504.0,42047.95,1,1.0,315,9.0,"rates were competitive and the funds came through quickly. transparent fees, no hidden charges that I noticed.",,0,2,medium
ACCT-0002397,2024-07-27,28.0,male,south,associate,self_employed,standard,mobile,False,True,808,6555.19,78767.98,22720.71,0.2885,48153.22,0.0666,84,718.9,60387.3,3,2.0,203,5.0,"great customer service, will recommend to friends and family. transparent fees, no hidden charges that I noticed.",,0,1,low
ACCT-0001825,2024-07-16,54.0,female,pacific,graduate,part_time,standard,mobile,True,False,754,2853.93,34242.89,12087.59,0.353,39322.56,0.0351,84,528.73,44413.03,0,4.0,919,7.0,"easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed.",,0,2,low
ACCT-0003488,2022-12-11,48.0,female,midwest,bachelor,full_time,premium,mobile,False,True,687,7413.58,89110.32,18245.92,0.2048,109832.8,0.0906,84,1770.46,148718.27,0,3.0,358,9.0,"easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed.",,0,0,medium
ACCT-0001766,2022-07-05,31.0,male,northeast,graduate,full_time,basic,online,True,False,661,6830.35,82431.81,16955.3,0.2057,97827.89,0.1061,60,2108.07,126484.03,0,1.0,389,8.0,documentation requirements were typical for this kind of loan.,,0,0,high
ACCT-0000731,2024-08-28,26.0,male,midwest,high_school,full_time,standard,branch,False,False,679,4960.66,59108.97,16117.1,0.2727,64430.31,0.0569,84,931.74,78266.4,2,1.0,1096,,documentation requirements were typical for this kind of loan. took longer than expected but got approved in the end.,,0,1,medium
ACCT-0005050,2024-03-23,35.0,female,south,bachelor,full_time,basic,branch,False,False,637,2859.93,34589.8,15597.16,0.4509,34597.84,0.0842,84,546.44,45900.63,1,0.0,718,7.0,"great customer service, will recommend to friends and family.",,0,0,high
ACCT-0001004,2022-08-31,30.0,female,northeast,high_school,part_time,basic,online,True,True,753,4256.37,51258.62,29296.55,0.5715,29204.55,0.1137,24,1366.24,32789.66,2,2.0,1447,4.0,"transparent fees, no hidden charges that I noticed.",,0,1,low
ACCT-0001340,2024-01-26,55.0,female,south,high_school,full_time,basic,branch,True,True,566,7422.11,89440.68,25380.65,0.2838,99329.34,0.1054,60,2137.07,128224.05,1,1.0,913,8.0,rates were competitive and the funds came through quickly. very smooth application process and the agent was helpful.,,0,3,very_high
ACCT-0002107,2024-12-09,48.0,female,south,bachelor,full_time,basic,online,True,True,572,6861.54,82000.84,20212.23,0.2465,93678.46,0.0709,84,1417.95,119107.93,1,0.0,876,5.0,"transparent fees, no hidden charges that I noticed. great customer service, will recommend to friends and family.",,0,1,very_high
ACCT-0004306,2022-03-18,18.0,female,northeast,bachelor,self_employed,standard,mobile,True,False,850,3888.82,46755.65,13162.54,0.2815,853423.9,0.0876,36,27044.92,973616.0,0,2.0,499,4.0,"great customer service, will recommend to friends and family. very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed.",,0,0,low
ACCT-0000409,2022-09-17,24.0,female,south,bachelor,full_time,standard,branch,False,False,754,2291.42,27284.23,21764.22,0.7977,30778.07,0.0744,24,1384.12,33218.89,0,0.0,1129,1.0,easy to track payments through the mobile app. very smooth application process and the agent was helpful.,,0,1,low
ACCT-0002331,2023-02-11,38.0,male,northeast,bachelor,part_time,premium,branch,True,True,678,2639.02,31303.34,7903.21,0.2525,32751.03,0.0835,12,2854.3,34251.59,1,1.0,1233,5.0,"rates were competitive and the funds came through quickly. great customer service, will recommend to friends and family. easy to track payments through the mobile app.",,0,3,medium
ACCT-0004888,2022-10-23,43.0,male,pacific,associate,self_employed,basic,online,True,False,802,3165.24,38018.79,15032.58,0.3954,47685.52,0.0715,84,723.22,60750.41,2,0.0,1261,5.0,still evaluating against other offers from competitor banks.,,0,0,low
ACCT-0004008,2023-11-24,31.0,female,midwest,bachelor,contract,standard,online,True,False,659,3431.38,41047.05,11352.45,0.2766,45321.23,0.0836,24,2057.17,49372.09,0,1.0,1391,10.0,,,0,1,high
ACCT-0004448,2022-02-18,53.0,male,northeast,graduate,full_time,standard,online,False,True,731,5509.98,66016.54,11345.48,0.1719,43301.49,0.0845,48,1066.29,51182.13,1,1.0,1220,8.0,"the agent kept rescheduling and the process took weeks. fees were not explained clearly upfront, very disappointing. the autopay system charged me twice in the same month.",2023-01-30,1,1,medium
ACCT-0000915,2022-04-10,33.0,male,south,bachelor,full_time,premium,online,False,True,598,4332.1,52024.25,,0.2717,68235.31,0.0891,24,3114.5,74747.98,0,1.0,133,5.0,"still evaluating against other offers from competitor banks. documentation requirements were typical for this kind of loan. process was fine, nothing exceptional either way.",,0,1,high
ACCT-0002901,2022-10-08,49.0,female,midwest,high_school,full_time,premium,branch,True,False,663,4256.56,51101.13,20575.21,0.4026,65222.64,0.0748,36,2028.09,73011.09,4,3.0,657,7.0,rates were competitive and the funds came through quickly.,,0,4,high
ACCT-0005536,2022-03-04,27.0,female,midwest,high_school,full_time,standard,online,False,True,705,4295.68,51597.42,13990.21,0.2711,37488.0,0.1318,72,756.12,54440.91,0,2.0,1239,4.0,still evaluating against other offers from competitor banks. documentation requirements were typical for this kind of loan.,,0,1,medium
ACCT-0000546,2024-08-16,58.0,nonbinary,northeast,bachelor,full_time,basic,agent,True,False,770,3230.62,38840.17,15052.05,0.3875,12700.79,0.1188,60,281.74,16904.67,3,1.0,75,3.0,"easy to track payments through the mobile app. very smooth application process and the agent was helpful. great customer service, will recommend to friends and family.",,0,0,low
ACCT-0005941,2022-08-08,25.0,male,south,high_school,full_time,basic,branch,True,True,646,3919.41,47127.02,7932.66,0.1683,29027.83,0.065,60,568.01,34080.47,0,3.0,1462,10.0,very smooth application process and the agent was helpful.,,0,1,high
ACCT-0005933,2023-11-20,51.0,male,south,associate,full_time,basic,online,True,False,767,2883.83,34934.69,7710.96,0.2207,38253.84,0.0589,48,896.49,43031.54,0,1.0,304,7.0,took longer than expected but got approved in the end.,,0,0,low
ACCT-0001188,2022-05-03,40.0,female,south,bachelor,full_time,standard,online,True,False,800,4493.54,54172.0,18719.31,0.3456,29410.62,0.0783,36,919.26,33093.32,0,0.0,243,8.0,"transparent fees, no hidden charges that I noticed.",,0,2,low
ACCT-0003153,2024-05-13,35.0,male,west,bachelor,self_employed,premium,online,False,False,595,5055.69,60411.01,36348.65,0.6017,69718.27,0.1004,12,6130.68,73568.12,1,2.0,70,7.0,interest rate jumped after the first quarter without warning.,2025-08-16,1,2,high
ACCT-0004634,2024-11-19,38.0,male,northeast,bachelor,full_time,premium,online,False,False,800,6096.54,72958.34,17259.32,0.2366,88216.27,0.0634,36,2697.36,97104.94,2,1.0,1451,6.0,still evaluating against other offers from competitor banks. documentation requirements were typical for this kind of loan.,,0,1,low
ACCT-0003984,2024-08-27,54.0,female,northeast,bachelor,part_time,premium,online,True,False,767,4972.25,59635.55,34207.0,0.5736,43162.34,0.0942,48,1082.69,51969.0,4,0.0,141,6.0,"very smooth application process and the agent was helpful. rates were competitive and the funds came through quickly. great customer service, will recommend to friends and family.",,0,1,low
ACCT-0003709,2022-01-01,51.0,male,midwest,bachelor,full_time,standard,online,False,True,757,3762.8,45268.83,29869.06,0.6598,30535.71,0.0489,24,1338.17,32116.07,3,1.0,1142,5.0,"ok experience overall, no strong feelings to share.",2022-12-16,1,1,low
ACCT-0002615,2024-04-28,42.0,male,south,bachelor,full_time,standard,mobile,True,False,647,2499.83,30107.1,38451.75,1.2772,33301.54,0.1419,72,689.6,49651.43,2,1.0,911,9.0,still evaluating against other offers from competitor banks. took longer than expected but got approved in the end.,,0,0,high
ACCT-0001646,2022-03-02,31.0,female,west,bachelor,full_time,standard,branch,False,False,513,5497.29,66103.93,15259.71,0.2308,24394.76,0.0952,72,446.09,32118.33,3,1.0,120,7.0,"took longer than expected but got approved in the end. ok experience overall, no strong feelings to share.",,0,2,very_high
ACCT-0002958,2023-03-05,37.0,female,midwest,graduate,full_time,standard,online,False,True,486,4398.43,52521.39,33192.06,0.632,73039.89,0.0763,72,1267.6,91267.29,0,,1405,4.0,very smooth application process and the agent was helpful. easy to track payments through the mobile app.,,0,0,very_high
ACCT-0004766,2024-12-12,50.0,female,west,graduate,full_time,basic,online,False,True,596,2501.96,29930.95,,0.5668,12604.58,0.0775,24,568.65,13647.57,3,1.0,1006,2.0,"process was fine, nothing exceptional either way. ok experience overall, no strong feelings to share.",,0,0,high
ACCT-0003445,2022-08-11,65.0,male,midwest,associate,self_employed,premium,branch,False,True,578,3238.04,38742.47,26491.57,0.6838,19132.16,0.0799,72,335.4,24148.74,1,2.0,903,3.0,"transparent fees, no hidden charges that I noticed. great customer service, will recommend to friends and family.",,0,3,very_high
ACCT-0000899,2024-06-20,53.0,female,midwest,high_school,part_time,standard,online,False,True,568,3193.8,38385.7,27064.95,0.7051,16828.82,0.0895,84,270.33,22708.09,2,1.0,1271,5.0,"transparent fees, no hidden charges that I noticed.",,0,2,very_high
ACCT-0001418,2024-08-07,60.0,male,west,bachelor,self_employed,basic,online,False,True,656,3027.22,36474.76,13221.48,0.3625,44320.63,0.0733,48,1068.03,51265.67,2,1.0,539,3.0,"process was fine, nothing exceptional either way.",,0,1,high
ACCT-0001845,2022-06-23,20.0,female,south,bachelor,contract,basic,online,False,False,665,7817.68,94345.57,18211.09,0.193,88311.76,0.1311,84,1611.65,135378.82,2,1.0,280,7.0,easy to track payments through the mobile app.,,0,2,high
ACCT-0001047,2022-12-31,32.0,male,west,high_school,self_employed,basic,mobile,True,False,737,3673.24,44302.09,14931.4,0.337,20257.68,0.0816,36,636.33,22907.78,0,1.0,820,9.0,"process was fine, nothing exceptional either way. took longer than expected but got approved in the end.",,0,2,medium
ACCT-0002328,2023-07-11,,male,south,graduate,full_time,basic,online,False,True,648,5128.55,61453.7,20546.83,0.3343,43123.03,0.0943,60,904.16,54249.75,0,2.0,753,7.0,"ok experience overall, no strong feelings to share. documentation requirements were typical for this kind of loan. took longer than expected but got approved in the end.",,0,1,high
ACCT-0005520,2022-05-19,40.0,male,south,bachelor,part_time,standard,branch,True,True,676,3191.38,38659.68,12319.46,0.3187,41103.54,0.1009,24,1898.49,45563.81,1,1.0,61,5.0,"very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed.",,0,1,medium
ACCT-0002902,2024-02-09,18.0,male,south,bachelor,full_time,premium,branch,True,True,762,9278.7,111082.51,27716.92,0.2495,35902.88,0.0912,72,649.25,46746.03,1,3.0,513,7.0,"fees were not explained clearly upfront, very disappointing.",2024-04-20,1,1,low
ACCT-0002867,2024-11-27,43.0,female,northeast,bachelor,self_employed,basic,online,True,False,663,7225.97,86679.69,15892.95,0.1834,29062.8,0.1086,36,949.49,34181.58,0,0.0,733,4.0,"very smooth application process and the agent was helpful. great customer service, will recommend to friends and family.",,0,1,high
ACCT-0002341,2022-06-02,26.0,male,pacific,bachelor,part_time,basic,mobile,True,False,640,3969.64,47375.46,11961.91,0.2525,41819.66,0.0675,84,626.08,52590.72,0,0.0,409,5.0,"process was fine, nothing exceptional either way.",,0,1,high
ACCT-0005233,2022-10-09,37.0,male,south,bachelor,contract,basic,mobile,True,True,682,11024.56,132632.72,24038.92,0.1812,126024.41,0.1343,36,4272.15,153797.55,0,3.0,811,5.0,support never returned my calls about the missed payment.,2022-11-26,1,2,medium
ACCT-0005981,2022-05-10,45.0,female,south,graduate,full_time,basic,mobile,True,False,825,5834.76,70139.83,17446.47,0.2487,84374.6,0.0604,24,3741.14,89787.37,0,2.0,963,5.0,still evaluating against other offers from competitor banks.,,0,2,low
ACCT-0002226,2023-10-13,46.0,female,west,bachelor,part_time,standard,branch,True,False,574,3571.87,42909.13,47917.99,1.1167,27983.56,0.0717,72,479.34,34512.37,1,0.0,358,4.0,"process was fine, nothing exceptional either way. took longer than expected but got approved in the end.",,0,0,very_high
ACCT-0005691,2023-02-04,41.0,female,south,associate,full_time,standard,branch,False,False,606,5034.06,60302.39,15233.98,0.2526,52245.94,0.1037,84,877.28,73691.73,0,3.0,766,9.0,"easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed. rates were competitive and the funds came through quickly.",,0,0,high
ACCT-0003978,2024-08-18,39.0,male,northeast,bachelor,full_time,standard,mobile,False,True,850,4046.94,48879.61,8992.34,0.184,63855.52,0.0795,48,1557.49,74759.34,1,1.0,79,,took longer than expected but got approved in the end.,,0,2,low
ACCT-0000112,2023-10-31,38.0,female,midwest,bachelor,part_time,standard,mobile,True,False,671,1683.82,20160.8,8018.74,0.3977,17181.37,0.0687,36,529.48,19061.39,2,2.0,107,6.0,"rates were competitive and the funds came through quickly. transparent fees, no hidden charges that I noticed.",,0,1,medium
