account_id,application_date,age,gender,region,education,employment_type,product_tier,channel,is_autopay,has_collateral,credit_score,monthly_income,annual_income,existing_debt,debt_to_income,loan_amount,interest_rate,term_months,monthly_payment,total_payment,num_late_payments,num_inquiries_90d,tenure_days,nps_score,customer_feedback,default_notice_date,defaulted,num_dependents,risk_band,referral_source,account_balance
ACCT-0000404,2023-04-01,36.0,male,midwest,bachelor,full_time,basic,mobile,False,False,555,2619.89,31130.17,11808.19,0.3793,23017.37,0.1337,84,423.34,35560.33,0,0.0,605,4.0,"ok experience overall, no strong feelings to share. documentation requirements were typical for this kind of loan.",,0,1,very_high,referral,1844.11
ACCT-0005153,2023-01-28,19.0,female,south,associate,part_time,standard,branch,True,False,752,6739.56,80954.63,25149.88,0.3107,43166.36,0.0471,12,3689.58,44274.9,1,1.0,647,2.0,"ok experience overall, no strong feelings to share. documentation requirements were typical for this kind of loan.",,0,0,low,partner,14228.47
ACCT-0004871,2023-02-16,27.0,male,south,bachelor,full_time,standard,online,True,False,561,4096.7,49279.66,12572.07,0.2551,30416.88,0.1004,48,772.08,37059.73,3,1.0,574,7.0,"transparent fees, no hidden charges that I noticed. very smooth application process and the agent was helpful.",,0,1,very_high,paid_ads,2395.09
ACCT-0009566,2023-10-12,43.0,male,south,graduate,self_employed,standard,mobile,False,True,782,4663.48,56293.6,23695.92,0.4209,23653.62,0.082,12,2059.73,24716.78,2,0.0,654,3.0,"great customer service, will recommend to friends and family. easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed.",,0,2,low,partner,6311.18
ACCT-0005995,2023-07-01,72.0,male,northeast,high_school,self_employed,premium,online,True,False,617,6846.86,82288.22,18987.73,0.2307,106415.87,0.1098,24,4958.85,119012.32,0,2.0,1084,8.0,documentation requirements were typical for this kind of loan.,,0,0,high,paid_ads,8905.72
ACCT-0006171,2022-03-17,25.0,male,south,bachelor,self_employed,standard,mobile,False,False,699,3645.9,43989.25,15576.92,0.3541,50752.87,0.1012,72,943.35,67921.4,0,0.0,233,9.0,"the autopay system charged me twice in the same month. fees were not explained clearly upfront, very disappointing. support never returned my calls about the missed payment.",2022-11-25,1,0,medium,organic,10974.17
ACCT-0008007,2024-04-15,45.0,male,midwest,high_school,contract,standard,mobile,False,False,641,5807.76,69702.98,13997.26,0.2008,26255.59,0.118,72,510.52,36757.79,1,,657,8.0,interest rate jumped after the first quarter without warning.,2025-08-30,1,0,high,paid_ads,11608.22
ACCT-0005604,2024-06-07,47.0,male,south,bachelor,self_employed,basic,online,True,False,656,6349.61,76539.81,17421.4,0.2276,32286.75,0.0835,36,1017.03,36613.05,0,0.0,223,10.0,"transparent fees, no hidden charges that I noticed.",,0,2,high,referral,15635.16
ACCT-0001708,2022-03-21,,female,west,high_school,full_time,standard,mobile,True,False,768,3029.75,36196.64,6209.73,0.1716,32622.35,0.045,84,453.48,38092.39,0,2.0,263,7.0,"very smooth application process and the agent was helpful. easy to track payments through the mobile app. great customer service, will recommend to friends and family.",,0,1,low,referral,7437.08
ACCT-0006088,2023-07-08,47.0,female,northeast,high_school,full_time,premium,online,True,True,644,8528.43,102177.59,18804.71,0.184,79971.88,0.1201,84,1412.0,118607.8,1,3.0,522,3.0,very smooth application process and the agent was helpful. easy to track payments through the mobile app.,,0,0,high,paid_ads,0.0
ACCT-0009837,2022-12-03,33.0,female,pacific,graduate,full_time,standard,mobile,True,False,850,7267.54,87183.08,32708.93,0.3752,40588.18,0.0764,24,1829.03,43896.82,1,2.0,102,5.0,rates were competitive and the funds came through quickly.,,0,0,low,organic,10735.02
ACCT-0004842,2024-04-29,54.0,male,south,bachelor,full_time,basic,mobile,False,False,755,1912.75,22849.41,8345.7,0.3652,11054.79,0.0879,60,228.34,13700.1,1,2.0,496,5.0,"rates were competitive and the funds came through quickly. easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed.",,0,2,low,paid_ads,13539.1
ACCT-0004058,2024-08-08,45.0,male,south,bachelor,full_time,basic,branch,True,False,694,2206.97,26705.09,8799.42,0.3295,35776.92,0.0952,60,751.81,45108.62,2,0.0,260,10.0,"support never returned my calls about the missed payment. fees were not explained clearly upfront, very disappointing.",2024-10-31,1,1,medium,organic,7601.58
ACCT-0002596,2022-11-09,26.0,female,west,associate,full_time,standard,mobile,True,True,648,4364.81,52337.85,14682.87,0.2805,49995.37,0.0923,24,2289.25,54941.98,0,0.0,154,9.0,easy to track payments through the mobile app.,,0,0,high,partner,5254.96
ACCT-0009385,2024-02-08,35.0,female,northeast,graduate,full_time,standard,online,True,True,794,2323.83,27551.84,9049.37,0.3284,12433.41,0.0364,12,1056.63,12679.59,0,4.0,145,7.0,"took longer than expected but got approved in the end. process was fine, nothing exceptional either way.",,0,0,low,referral,14152.88
ACCT-0001040,2023-08-03,41.0,female,south,bachelor,full_time,standard,online,False,True,764,6009.4,72489.4,16598.85,0.229,68011.4,0.0741,36,2112.78,76060.05,1,1.0,329,7.0,"easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed. great customer service, will recommend to friends and family.",,0,3,low,paid_ads,5927.83
ACCT-0002393,2023-03-30,36.0,female,south,high_school,full_time,basic,mobile,True,False,651,2629.13,31833.95,8076.45,0.2537,11324.02,0.079,48,275.9,13243.17,1,2.0,1005,2.0,"process was fine, nothing exceptional either way. still evaluating against other offers from competitor banks. documentation requirements were typical for this kind of loan.",,0,1,high,partner,9486.58
ACCT-0002914,2022-11-26,49.0,female,south,bachelor,contract,premium,branch,True,True,362,3824.52,45972.05,11736.16,0.2553,37175.71,0.1335,24,1773.55,42565.24,4,1.0,995,10.0,"easy to track payments through the mobile app. great customer service, will recommend to friends and family.",,0,3,very_high,paid_ads,15766.38
ACCT-0009635,2023-11-06,32.0,female,south,graduate,part_time,standard,online,True,False,831,8822.78,105992.48,40493.54,0.382,110729.49,0.0376,12,9416.38,112996.55,2,0.0,684,6.0,"process was fine, nothing exceptional either way. ok experience overall, no strong feelings to share.",,0,0,low,referral,7140.48
ACCT-0003089,2024-02-24,30.0,male,south,bachelor,full_time,basic,agent,True,False,657,4563.98,54734.41,19948.84,0.3645,70217.1,0.0981,48,1774.51,85176.68,6,2.0,527,5.0,the autopay system charged me twice in the same month.,2025-03-27,1,1,high,referral,14924.85
ACCT-0007927,2022-12-19,37.0,female,northeast,associate,contract,basic,mobile,True,False,619,3193.28,38102.97,9490.59,0.2491,38645.6,0.1236,60,866.63,51998.08,1,1.0,888,5.0,"very smooth application process and the agent was helpful. rates were competitive and the funds came through quickly. great customer service, will recommend to friends and family.",,0,3,high,organic,18086.37
ACCT-0005560,2023-09-07,48.0,male,west,high_school,contract,premium,mobile,True,True,559,5490.82,65922.18,13701.21,0.2078,23053.53,0.1302,36,776.94,27969.91,0,3.0,1159,0.0,"took longer than expected but got approved in the end. ok experience overall, no strong feelings to share.",,0,2,very_high,referral,8704.37
ACCT-0004493,2024-03-31,55.0,female,south,graduate,full_time,premium,online,False,True,702,3309.45,39629.81,12790.47,0.3227,14099.03,0.0719,12,1221.2,14654.44,0,1.0,1448,5.0,rates were competitive and the funds came through quickly.,,0,1,medium,partner,29980.82
ACCT-0009022,2023-03-10,24.0,female,pacific,bachelor,part_time,standard,online,True,True,652,6049.55,72190.9,42592.06,0.59,75640.43,0.0669,60,1486.65,89199.19,1,0.0,252,5.0,"process was fine, nothing exceptional either way. still evaluating against other offers from competitor banks. took longer than expected but got approved in the end.",,0,0,high,paid_ads,18727.41
ACCT-0008241,2022-07-24,32.0,female,south,bachelor,contract,standard,online,True,True,725,4358.52,52502.83,25981.41,0.4949,67239.5,0.1327,60,1539.33,92359.96,2,2.0,1355,4.0,"fees were not explained clearly upfront, very disappointing. the autopay system charged me twice in the same month.",2023-10-31,1,0,medium,paid_ads,19790.91
ACCT-0004252,2024-08-04,37.0,male,midwest,bachelor,self_employed,standard,online,True,False,623,2592.04,30733.81,8696.55,0.283,42198.93,0.1202,48,1111.64,53358.89,1,0.0,1470,,"ok experience overall, no strong feelings to share. process was fine, nothing exceptional either way.",,0,0,high,referral,0.0
ACCT-0009642,2022-11-19,37.0,male,west,bachelor,full_time,basic,branch,False,True,670,8087.92,96943.59,25905.7,0.2672,53404.24,0.0878,84,853.14,71663.89,1,0.0,793,9.0,documentation requirements were typical for this kind of loan. still evaluating against other offers from competitor banks.,,0,1,high,partner,2905.41
ACCT-0002451,2023-02-02,42.0,male,south,graduate,full_time,premium,branch,False,False,737,5184.66,61743.34,24059.65,0.3897,43113.68,0.0797,60,873.57,52414.08,1,1.0,612,3.0,very smooth application process and the agent was helpful. rates were competitive and the funds came through quickly.,,0,2,medium,organic,755.47
ACCT-0001174,2024-01-09,36.0,female,west,high_school,full_time,basic,agent,True,True,629,3935.09,47104.0,11522.33,0.2446,60971.11,0.0813,36,1914.32,68915.65,0,1.0,679,7.0,took longer than expected but got approved in the end. documentation requirements were typical for this kind of loan.,,0,1,high,paid_ads,1979.49
ACCT-0006653,2022-05-25,41.0,female,south,bachelor,full_time,basic,online,True,False,638,4286.87,51800.12,17850.76,0.3446,46620.9,0.0918,84,754.45,63374.02,1,0.0,1264,6.0,"ok experience overall, no strong feelings to share. still evaluating against other offers from competitor banks.",,0,0,high,organic,5520.07
ACCT-0003398,2022-10-22,41.0,male,south,bachelor,full_time,basic,online,True,True,771,4520.15,54185.92,11894.85,0.2195,44063.2,0.0857,24,2004.32,48103.7,0,2.0,37,6.0,took longer than expected but got approved in the end.,,0,0,low,paid_ads,8686.74
ACCT-0003382,2024-01-06,55.0,female,south,bachelor,full_time,basic,agent,True,False,718,4381.12,52588.78,15311.11,0.2911,55290.59,0.0378,36,1626.91,58568.6,0,1.0,1487,10.0,"process was fine, nothing exceptional either way. took longer than expected but got approved in the end.",,0,0,medium,organic,1105.98
ACCT-0001605,2024-09-27,37.0,female,pacific,associate,part_time,standard,online,False,False,677,2709.75,32152.62,13420.07,0.4174,17621.87,0.0989,48,446.04,21410.12,0,1.0,821,6.0,rates were competitive and the funds came through quickly.,,0,0,medium,paid_ads,3949.9
ACCT-0003068,2022-08-28,39.0,female,west,high_school,full_time,standard,mobile,False,False,686,4036.36,48710.88,11075.31,0.2274,33327.39,0.0299,24,1432.28,34374.79,2,1.0,707,6.0,"process was fine, nothing exceptional either way. ok experience overall, no strong feelings to share.",,0,1,medium,referral,13225.91
ACCT-0009783,2022-05-27,,male,pacific,graduate,full_time,standard,online,True,False,832,4230.82,51082.54,11895.85,0.2329,50139.74,0.1064,60,1081.18,64870.83,0,2.0,364,8.0,"rates were competitive and the funds came through quickly. transparent fees, no hidden charges that I noticed. easy to track payments through the mobile app.",,0,1,low,organic,12414.02
ACCT-0002532,2024-12-16,56.0,female,west,bachelor,part_time,basic,mobile,False,False,645,2562.22,30892.51,23619.11,0.7646,28040.18,0.079,60,567.15,34028.81,2,0.0,978,,"took longer than expected but got approved in the end. ok experience overall, no strong feelings to share.",,0,0,high,organic,13096.38
ACCT-0006558,2024-09-10,37.0,female,pacific,associate,self_employed,premium,online,False,True,787,4480.38,53619.13,26851.84,0.5008,56263.28,0.0688,72,956.09,68838.16,0,2.0,142,4.0,rates were competitive and the funds came through quickly. very smooth application process and the agent was helpful.,,0,3,low,organic,14222.04
ACCT-0006386,2022-08-25,29.0,female,midwest,associate,full_time,basic,agent,True,True,711,3897.2,46169.42,12963.55,0.2808,36463.25,0.0827,72,644.13,46377.22,0,3.0,726,9.0,"transparent fees, no hidden charges that I noticed. easy to track payments through the mobile app.",,0,0,medium,organic,4518.22
ACCT-0008735,2022-09-05,55.0,male,pacific,bachelor,full_time,standard,branch,False,False,685,6748.54,81031.31,19952.84,0.2462,24639.74,0.0947,12,2160.21,25922.5,0,0.0,1357,6.0,"process was fine, nothing exceptional either way. ok experience overall, no strong feelings to share. documentation requirements were typical for this kind of loan.",,0,2,medium,organic,21213.47
ACCT-0008622,2022-10-30,47.0,male,south,bachelor,contract,standard,mobile,True,True,593,5823.79,70038.87,19904.49,0.2842,87838.43,0.1481,12,7920.34,95044.06,1,0.0,463,5.0,easy to track payments through the mobile app. rates were competitive and the funds came through quickly. very smooth application process and the agent was helpful.,,0,1,high,organic,3894.96
ACCT-0006047,2023-06-29,42.0,male,northeast,bachelor,self_employed,basic,mobile,False,False,655,7596.21,91052.5,19404.4,0.2131,90470.79,0.0861,24,4116.91,98805.79,1,2.0,959,10.0,"transparent fees, no hidden charges that I noticed.",,0,1,high,referral,6460.13
ACCT-0007958,2024-03-24,63.0,female,pacific,high_school,self_employed,basic,online,True,False,718,2258.57,27131.37,10121.95,0.3731,23681.99,0.0836,36,746.08,26859.04,1,1.0,34,9.0,"rates were competitive and the funds came through quickly. transparent fees, no hidden charges that I noticed.",,0,4,medium,paid_ads,4599.3
ACCT-0004801,2023-05-24,49.0,male,pacific,bachelor,part_time,standard,agent,True,True,626,7268.92,87552.33,22053.04,0.2519,73280.22,0.0656,12,6325.89,75910.73,0,0.0,745,7.0,"easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed.",,0,1,high,paid_ads,3839.61
ACCT-0003130,2022-08-04,40.0,male,west,high_school,full_time,basic,mobile,True,False,726,3908.54,46997.41,19322.44,0.4111,62771.26,0.0854,36,1982.59,71373.27,2,2.0,533,6.0,"transparent fees, no hidden charges that I noticed.",,0,1,medium,partner,7477.5
ACCT-0005694,2024-05-31,41.0,female,northeast,bachelor,self_employed,basic,mobile,True,False,807,2778.1,33489.22,6988.81,0.2087,26493.13,0.0524,36,796.94,28689.77,1,0.0,1455,2.0,very smooth application process and the agent was helpful.,,0,0,low,organic,2791.81
ACCT-0004400,2024-01-08,26.0,female,pacific,bachelor,full_time,premium,mobile,True,False,732,2348.54,27947.72,7960.44,0.2848,7197.45,0.1061,72,135.58,9761.73,0,0.0,120,6.0,"transparent fees, no hidden charges that I noticed. rates were competitive and the funds came through quickly.",,0,0,medium,organic,12939.41
ACCT-0003616,2024-01-26,35.0,female,midwest,bachelor,full_time,premium,online,True,False,654,2539.9,30503.56,8798.16,0.2884,38744.66,0.089,24,1768.18,42436.2,0,0.0,703,7.0,"easy to track payments through the mobile app. great customer service, will recommend to friends and family.",,0,1,high,referral,6075.11
ACCT-0002316,2024-05-01,23.0,male,south,bachelor,self_employed,standard,online,True,False,638,6672.42,79884.79,21333.93,0.2671,85214.65,0.0741,72,1469.56,105808.2,0,2.0,477,,"great customer service, will recommend to friends and family. easy to track payments through the mobile app.",,0,0,high,email,8228.81
ACCT-0003005,2024-09-20,47.0,male,midwest,bachelor,full_time,standard,branch,False,False,726,1314.41,15548.93,17806.48,1.1452,6537.53,0.0962,36,209.77,7551.84,1,0.0,1103,8.0,"fees were not explained clearly upfront, very disappointing.",2025-01-16,1,0,medium,referral,20735.86
ACCT-0001578,2023-06-08,42.0,male,south,bachelor,full_time,premium,mobile,False,False,716,6330.89,75792.81,25211.55,0.3326,26599.19,0.0913,84,429.77,36100.27,1,1.0,701,,,2023-07-08,1,1,medium,email,1688.0
ACCT-0003092,2024-08-27,25.0,female,midwest,bachelor,self_employed,basic,mobile,False,True,732,7738.41,93016.58,19325.84,0.2078,56621.65,0.0981,36,1821.94,65589.91,0,2.0,280,7.0,,,0,0,medium,organic,9096.14
ACCT-0000830,2022-02-26,59.0,female,midwest,high_school,full_time,standard,agent,False,False,686,6063.82,72525.83,13375.3,0.1844,42415.8,0.025,24,1813.72,43529.19,0,4.0,731,,"process was fine, nothing exceptional either way. still evaluating against other offers from competitor banks.",,0,1,medium,organic,15461.03
ACCT-0001493,2023-11-24,40.0,female,south,associate,full_time,premium,mobile,True,False,697,2409.04,29127.28,,0.441,26400.33,0.1123,72,505.57,36401.2,1,0.0,1467,7.0,very smooth application process and the agent was helpful. easy to track payments through the mobile app.,,0,1,medium,organic,1772.22
ACCT-0003349,2024-02-20,39.0,female,west,bachelor,full_time,basic,online,True,False,715,3453.93,41360.38,33083.12,0.7999,32336.27,0.0978,60,683.53,41011.97,2,0.0,1365,10.0,"process was fine, nothing exceptional either way.",,0,2,medium,referral,9887.93
ACCT-0007560,2024-08-25,47.0,female,south,graduate,part_time,basic,online,True,True,684,5620.45,67652.58,16552.32,0.2447,71961.61,0.1109,72,1373.21,98871.09,1,2.0,858,8.0,"great customer service, will recommend to friends and family. rates were competitive and the funds came through quickly.",,0,1,medium,organic,9577.71
ACCT-0002633,2023-12-25,35.0,male,midwest,graduate,contract,standard,mobile,False,True,624,2273.67,27464.33,7232.59,0.2633,13446.43,0.0814,72,236.7,17042.39,1,,737,5.0,"great customer service, will recommend to friends and family.",,0,0,high,referral,4814.76
ACCT-0006284,2022-09-29,18.0,male,west,bachelor,full_time,basic,branch,False,True,780,8251.5,99030.35,,0.2196,124434.42,0.0719,60,2475.26,148515.8,0,1.0,458,7.0,rates were competitive and the funds came through quickly.,,0,0,low,paid_ads,5856.95
ACCT-0004954,2022-08-22,18.0,female,pacific,bachelor,contract,basic,online,True,True,609,2755.49,33466.81,8421.35,0.2516,11626.59,0.1263,60,262.36,15741.42,2,0.0,1207,6.0,,2022-10-15,1,1,high,organic,0.0
ACCT-0009703,2022-02-18,45.0,male,pacific,high_school,part_time,standard,mobile,True,False,730,2716.31,32564.01,8754.86,0.2689,31288.61,0.0934,12,2741.23,32894.7,0,1.0,379,4.0,very smooth application process and the agent was helpful.,,0,1,medium,referral,18358.45
ACCT-0003073,2024-04-15,62.0,male,northeast,bachelor,part_time,basic,online,False,False,700,3867.79,45999.4,15384.45,0.3344,53991.64,0.0821,12,4701.9,56422.79,0,3.0,157,7.0,"great customer service, will recommend to friends and family.",,0,0,medium,referral,18540.94
ACCT-0008691,2022-09-26,28.0,male,northeast,bachelor,full_time,standard,online,False,False,707,1928.18,23066.58,4784.39,0.2074,29317.05,0.1022,24,1355.84,32540.13,1,1.0,1436,9.0,very smooth application process and the agent was helpful.,,0,0,medium,organic,15.95
ACCT-0003324,2024-12-30,42.0,female,northeast,high_school,full_time,basic,online,False,False,630,3326.79,40004.48,14320.49,0.358,49445.6,0.0985,48,1250.49,60023.75,0,0.0,779,8.0,very smooth application process and the agent was helpful. rates were competitive and the funds came through quickly.,,0,1,high,partner,15942.87
ACCT-0009012,2023-12-23,21.0,female,south,graduate,full_time,premium,online,False,False,664,9655.33,115931.64,35600.44,0.3071,115145.58,0.0715,84,1746.44,146700.95,0,,206,8.0,"great customer service, will recommend to friends and family.",,0,2,high,partner,10102.58
ACCT-0006853,2024-02-07,38.0,male,midwest,bachelor,full_time,standard,mobile,False,True,590,3466.54,41744.38,9297.51,0.2227,12201.26,0.1197,72,238.32,17159.2,0,0.0,865,,very smooth application process and the agent was helpful.,,0,2,high,organic,21825.77
ACCT-0006957,2022-07-10,59.0,female,south,high_school,full_time,standard,online,False,True,767,3881.87,46370.49,10114.45,0.2181,46340.13,0.0912,12,4055.11,48661.32,1,1.0,1340,4.0,"very smooth application process and the agent was helpful. great customer service, will recommend to friends and family.",,0,3,low,partner,5973.39
ACCT-0006328,2024-12-04,24.0,female,midwest,associate,full_time,basic,online,True,False,716,2527.01,30142.0,8894.4,0.2951,20693.36,0.0479,84,290.44,24397.24,0,0.0,268,8.0,very smooth application process and the agent was helpful. rates were competitive and the funds came through quickly.,,0,1,medium,referral,11546.33
ACCT-0002366,2024-05-19,28.0,male,south,graduate,full_time,basic,online,False,False,570,5180.35,62062.54,21093.9,0.3399,44734.35,0.0947,72,816.79,58809.19,0,1.0,570,5.0,"great customer service, will recommend to friends and family. rates were competitive and the funds came through quickly.",,0,0,very_high,organic,12087.08
