account_id,application_date,age,gender,region,education,employment_type,product_tier,channel,is_autopay,has_collateral,credit_score,monthly_income,annual_income,existing_debt,debt_to_income,loan_amount,interest_rate,term_months,monthly_payment,total_payment,num_late_payments,num_inquiries_90d,tenure_days,nps_score,customer_feedback,default_notice_date,defaulted,num_dependents,risk_band
ACCT-0002113,2022-06-04,31.0,female,west,graduate,part_time,standard,online,False,False,804,5483.65,65318.78,19074.69,0.292,38359.93,0.1106,60,835.15,50109.29,0,1.0,1201,10.0,"transparent fees, no hidden charges that I noticed. great customer service, will recommend to friends and family.",,0,2,low
ACCT-0005636,2022-05-23,49.0,male,south,bachelor,full_time,standard,agent,True,False,765,3771.89,45296.05,15171.65,0.3349,54314.38,0.0842,48,1336.75,64163.81,0,2.0,860,8.0,"documentation requirements were typical for this kind of loan. ok experience overall, no strong feelings to share.",,0,1,low
ACCT-0004662,2024-11-14,35.0,male,midwest,bachelor,part_time,standard,mobile,False,True,753,3189.32,38338.79,11599.78,0.3026,28593.8,0.0943,36,899.03,32365.09,0,1.0,368,4.0,rates were competitive and the funds came through quickly.,,0,0,low
ACCT-0002451,2024-10-15,18.0,female,south,high_school,full_time,basic,mobile,True,True,711,2097.88,25395.55,17515.55,0.6897,22584.87,0.095,24,1024.52,24588.44,1,0.0,1474,5.0,"transparent fees, no hidden charges that I noticed.",,0,2,medium
ACCT-0001567,2024-03-10,53.0,male,west,bachelor,part_time,premium,online,True,False,759,6399.67,76611.69,21366.47,0.2789,62601.27,0.08,24,2797.01,67128.16,1,0.0,450,7.0,"ok experience overall, no strong feelings to share. process was fine, nothing exceptional either way.",,0,0,low
ACCT-0003340,2024-09-03,31.0,male,south,associate,full_time,basic,branch,True,True,649,3063.66,36356.48,20238.41,0.5567,12933.11,0.0599,60,242.81,14568.48,0,1.0,1413,4.0,"rates were competitive and the funds came through quickly. great customer service, will recommend to friends and family.",,0,0,high
ACCT-0003912,2023-09-02,35.0,female,west,bachelor,full_time,basic,mobile,True,False,553,6521.63,78496.1,,0.3369,28202.03,0.1241,48,731.73,35122.98,0,3.0,796,,"very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed.",,0,0,very_high
ACCT-0005916,2022-01-24,44.0,female,northeast,bachelor,self_employed,standard,mobile,False,True,615,5425.06,64604.09,12844.5,0.1988,21712.77,0.0886,36,689.01,24804.34,1,4.0,121,4.0,"ok experience overall, no strong feelings to share.",,0,1,high
ACCT-0003136,2023-02-04,41.0,female,northeast,bachelor,full_time,standard,branch,True,False,616,2750.11,32862.47,13003.14,0.3957,30475.08,0.0815,84,477.3,40092.92,1,3.0,996,6.0,"very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed. rates were competitive and the funds came through quickly.",,0,0,high
ACCT-0003498,2024-04-09,35.0,female,south,bachelor,self_employed,standard,online,False,False,797,7882.06,94535.12,19009.33,0.2011,127004.57,0.0794,72,2149.46,154761.44,0,0.0,189,8.0,"great customer service, will recommend to friends and family. transparent fees, no hidden charges that I noticed.",,0,2,low
ACCT-0005777,2023-09-24,31.0,female,south,high_school,contract,standard,online,False,False,633,3632.71,43513.2,19413.74,0.4462,26480.45,0.1166,36,860.17,30966.09,5,0.0,607,6.0,,,0,1,high
ACCT-0004007,2024-07-10,36.0,female,south,associate,full_time,premium,branch,False,True,678,6468.81,77744.27,15137.4,0.1947,87639.22,0.1009,24,3999.48,95987.56,2,3.0,861,7.0,"transparent fees, no hidden charges that I noticed. very smooth application process and the agent was helpful.",,0,0,medium
ACCT-0001450,2023-01-03,31.0,male,northeast,associate,part_time,standard,mobile,True,False,610,5210.83,62382.6,31768.66,0.5093,43183.25,0.1026,36,1398.6,50349.68,0,0.0,1404,5.0,"transparent fees, no hidden charges that I noticed. easy to track payments through the mobile app.",,0,2,high
ACCT-0000830,2022-02-16,47.0,female,south,graduate,full_time,basic,mobile,False,False,557,5711.74,68624.77,23030.95,0.3356,26223.57,0.0968,12,2301.6,27619.18,0,1.0,1069,2.0,"great customer service, will recommend to friends and family.",,0,1,very_high
ACCT-0004520,2022-10-05,38.0,female,south,bachelor,full_time,basic,branch,True,False,530,3917.89,47238.16,9605.2,0.2033,25768.64,0.1003,12,2265.86,27190.36,0,1.0,923,4.0,"very smooth application process and the agent was helpful. easy to track payments through the mobile app. great customer service, will recommend to friends and family.",,0,3,very_high
ACCT-0003854,2024-02-03,36.0,male,west,bachelor,full_time,basic,online,False,False,722,14691.15,175989.71,33213.57,0.1887,167421.17,0.1122,72,3103.33,223439.95,0,1.0,90,7.0,"great customer service, will recommend to friends and family. very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed.",,0,0,medium
ACCT-0002008,2023-08-22,37.0,male,west,bachelor,full_time,basic,online,False,True,581,4317.78,51831.94,21266.9,0.4103,51394.54,0.0986,24,2368.39,56841.42,1,1.0,1345,6.0,"process was fine, nothing exceptional either way.",,0,0,high
ACCT-0005356,2024-02-06,44.0,female,south,bachelor,full_time,basic,branch,True,True,579,5963.21,71677.38,14902.39,0.2079,69043.42,0.0917,84,1075.04,90303.17,1,1.0,865,2.0,"rates were competitive and the funds came through quickly. great customer service, will recommend to friends and family.",,0,0,very_high
ACCT-0001731,2024-05-02,52.0,female,pacific,bachelor,self_employed,basic,branch,True,False,735,8999.88,108270.03,18111.76,0.1673,119808.34,0.0965,60,2455.08,147304.66,1,1.0,1015,7.0,,,0,0,medium
ACCT-0002066,2024-01-26,62.0,female,south,bachelor,full_time,standard,branch,False,True,593,4126.15,49886.67,23692.83,0.4749,13521.09,0.1009,72,242.97,17493.99,1,0.0,110,5.0,easy to track payments through the mobile app. rates were competitive and the funds came through quickly.,,0,0,high
ACCT-0002437,2023-11-06,42.0,female,west,high_school,full_time,premium,branch,True,False,761,8958.46,106970.8,31645.02,0.2958,111026.46,0.0635,48,2564.35,123088.63,1,3.0,631,4.0,"took longer than expected but got approved in the end. ok experience overall, no strong feelings to share.",,0,2,low
ACCT-0003182,2024-05-16,37.0,female,west,graduate,full_time,basic,mobile,False,False,612,10747.92,129026.02,28249.39,0.2189,88948.0,0.098,48,2196.55,105434.37,1,1.0,296,5.0,"rates were competitive and the funds came through quickly. transparent fees, no hidden charges that I noticed.",,0,1,high
ACCT-0005984,2023-05-31,50.0,male,pacific,bachelor,full_time,basic,mobile,False,False,536,5205.14,62537.48,11130.52,0.178,81700.27,0.1185,84,1435.71,120599.45,0,1.0,415,6.0,"transparent fees, no hidden charges that I noticed.",,0,0,very_high
ACCT-0001729,2023-01-01,58.0,male,northeast,bachelor,full_time,basic,online,True,False,478,3287.13,39727.33,29274.19,0.7369,45106.15,0.0956,12,3956.24,47474.92,1,0.0,698,2.0,very smooth application process and the agent was helpful.,,0,1,very_high
ACCT-0000881,2023-11-13,28.0,female,pacific,high_school,full_time,premium,online,False,True,744,3980.9,47956.09,9458.86,0.1972,12046.79,0.1127,60,256.38,15382.99,2,2.0,1475,9.0,rates were competitive and the funds came through quickly. very smooth application process and the agent was helpful.,,0,0,low
ACCT-0001908,2023-06-19,31.0,male,west,high_school,full_time,standard,branch,True,True,725,1549.42,17938.38,8272.38,0.4612,24888.18,0.115,12,2205.47,26465.69,3,0.0,577,8.0,"easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed.",,0,1,medium
ACCT-0003357,2022-07-24,38.0,female,midwest,graduate,self_employed,premium,mobile,False,False,850,5326.22,63430.11,13529.99,0.2133,56412.45,0.0725,72,968.55,69735.73,1,1.0,314,10.0,documentation requirements were typical for this kind of loan. still evaluating against other offers from competitor banks.,,0,1,low
ACCT-0002484,2022-07-15,20.0,male,west,bachelor,full_time,basic,mobile,False,False,618,4255.21,50506.36,13133.57,0.26,57528.93,0.0701,84,868.6,72962.69,1,3.0,1311,4.0,"rates were competitive and the funds came through quickly. transparent fees, no hidden charges that I noticed.",,0,0,high
ACCT-0003288,2024-09-24,56.0,male,northeast,high_school,part_time,basic,online,True,False,646,5389.3,64616.17,11909.81,0.1843,78703.52,0.087,24,3541.77,85002.48,0,2.0,1057,3.0,"easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed. very smooth application process and the agent was helpful.",,0,1,high
ACCT-0002940,2023-04-16,27.0,male,south,graduate,full_time,standard,online,True,True,673,11014.01,132074.9,33005.62,0.2499,66253.93,0.0591,48,1553.36,74561.42,2,1.0,974,5.0,"transparent fees, no hidden charges that I noticed. easy to track payments through the mobile app. great customer service, will recommend to friends and family.",,0,0,medium
ACCT-0002366,2022-07-12,27.0,female,south,bachelor,self_employed,standard,branch,False,False,553,6435.01,77353.15,17515.51,0.2264,46371.59,0.1034,36,1503.74,54134.65,1,2.0,1064,7.0,"great customer service, will recommend to friends and family. very smooth application process and the agent was helpful.",,0,1,very_high
ACCT-0002419,2024-08-21,49.0,female,west,bachelor,full_time,standard,branch,True,False,535,3049.29,36851.63,22563.26,0.6123,38483.99,0.1178,12,3393.71,40724.52,0,1.0,186,5.0,"fees were not explained clearly upfront, very disappointing. support never returned my calls about the missed payment.",2025-06-09,1,0,very_high
ACCT-0002404,2022-07-16,49.0,male,midwest,bachelor,part_time,basic,online,True,False,712,6413.37,77424.39,20497.2,0.2647,99088.87,0.0995,60,2102.67,126160.26,0,1.0,961,9.0,rates were competitive and the funds came through quickly.,,0,3,medium
ACCT-0003804,2022-07-24,52.0,female,south,high_school,full_time,basic,mobile,False,False,618,4666.05,55979.32,15603.82,0.2787,44174.82,0.0838,84,696.83,58533.88,0,2.0,851,5.0,"still evaluating against other offers from competitor banks. process was fine, nothing exceptional either way.",,0,2,high
ACCT-0000836,2023-05-29,37.0,male,west,graduate,part_time,standard,mobile,False,True,770,2460.85,29727.9,5530.38,0.186,18082.33,0.085,72,321.5,23148.24,1,3.0,1166,6.0,"documentation requirements were typical for this kind of loan. ok experience overall, no strong feelings to share.",,0,0,low
ACCT-0004273,2022-03-28,43.0,male,midwest,bachelor,self_employed,basic,online,False,True,640,8706.04,104523.73,27746.21,0.2655,70116.82,0.1388,12,6291.69,75500.25,0,0.0,165,10.0,"transparent fees, no hidden charges that I noticed.",,0,0,high
ACCT-0004650,2024-05-23,,male,midwest,bachelor,full_time,basic,online,True,False,667,6242.67,74829.88,25963.94,0.347,83231.1,0.1269,36,2744.15,98789.37,0,0.0,293,8.0,"still evaluating against other offers from competitor banks. process was fine, nothing exceptional either way.",,0,0,high
ACCT-0001008,2024-01-21,42.0,male,south,graduate,full_time,basic,branch,False,True,754,6436.76,77352.16,36708.66,0.4746,57781.63,0.0689,84,835.62,70192.21,1,1.0,815,5.0,"great customer service, will recommend to friends and family. very smooth application process and the agent was helpful.",,0,2,low
ACCT-0005687,2022-02-13,32.0,female,south,bachelor,full_time,basic,branch,True,False,668,4569.48,54625.0,9404.56,0.1722,31644.42,0.0544,24,1394.47,33467.29,1,2.0,1412,7.0,"great customer service, will recommend to friends and family. transparent fees, no hidden charges that I noticed. easy to track payments through the mobile app.",,0,2,high
ACCT-0003536,2023-02-26,37.0,female,south,associate,full_time,standard,branch,False,False,747,4867.36,58268.49,9359.87,0.1606,19874.22,0.0872,48,491.98,23615.02,0,4.0,986,6.0,"easy to track payments through the mobile app. great customer service, will recommend to friends and family. rates were competitive and the funds came through quickly.",,0,1,low
ACCT-0005282,2022-09-11,50.0,male,midwest,high_school,full_time,standard,branch,True,True,796,3202.2,38691.43,6959.56,0.1799,23797.59,0.0516,12,2039.03,24468.3,2,3.0,216,6.0,documentation requirements were typical for this kind of loan. took longer than expected but got approved in the end.,,0,2,low
ACCT-0004657,2022-06-15,28.0,female,midwest,graduate,full_time,standard,online,True,False,772,3917.65,47207.29,9273.08,0.1964,32816.16,0.0514,24,1441.8,34603.17,1,0.0,710,,easy to track payments through the mobile app. very smooth application process and the agent was helpful. rates were competitive and the funds came through quickly.,,0,0,low
ACCT-0001664,2022-07-03,42.0,female,south,bachelor,full_time,standard,mobile,True,False,730,5943.12,71438.87,16291.26,0.228,60728.29,0.0697,48,1453.5,69767.85,1,4.0,883,2.0,very smooth application process and the agent was helpful. rates were competitive and the funds came through quickly. easy to track payments through the mobile app.,,0,1,medium
ACCT-0004029,2024-06-23,32.0,female,west,bachelor,full_time,basic,online,True,False,661,6199.71,74459.88,24776.24,0.3327,39927.68,0.0527,48,902.76,43332.49,1,2.0,197,8.0,the agent kept rescheduling and the process took weeks. interest rate jumped after the first quarter without warning.,2025-07-09,1,2,high
ACCT-0001020,2022-02-16,48.0,female,northeast,associate,full_time,standard,mobile,True,True,482,2457.88,29709.53,20452.37,0.6884,25882.14,0.1249,12,2305.52,27666.21,1,,1055,5.0,,,0,2,very_high
ACCT-0000017,2022-03-27,42.0,female,northeast,bachelor,part_time,basic,online,False,False,717,2768.2,33346.74,8635.53,0.259,19752.94,0.0986,84,326.52,27427.71,0,1.0,407,5.0,"ok experience overall, no strong feelings to share.",,0,2,medium
ACCT-0002841,2022-12-01,18.0,female,northeast,associate,full_time,standard,online,True,False,741,1687.12,20498.85,7383.45,0.3602,307302.82,0.1201,72,6010.18,432725.04,0,1.0,1354,7.0,still evaluating against other offers from competitor banks.,,0,0,low
ACCT-0004698,2024-11-16,57.0,male,northeast,graduate,full_time,standard,online,False,False,713,7224.48,86810.4,25606.35,0.295,107321.2,0.0913,72,1878.2,135230.2,1,0.0,838,6.0,interest rate jumped after the first quarter without warning. the agent kept rescheduling and the process took weeks.,2025-07-24,1,1,medium
ACCT-0000916,2024-08-12,49.0,female,west,bachelor,part_time,basic,mobile,True,False,706,9328.78,112113.33,24319.97,0.2169,31554.55,0.0945,60,643.52,38611.44,0,0.0,929,4.0,"ok experience overall, no strong feelings to share. documentation requirements were typical for this kind of loan. still evaluating against other offers from competitor banks.",2025-09-02,1,0,medium
ACCT-0002518,2023-05-04,30.0,female,northeast,bachelor,contract,basic,agent,False,True,619,4520.25,54068.57,25767.99,0.4766,23540.32,0.135,12,2108.03,25296.34,2,2.0,986,9.0,rates were competitive and the funds came through quickly. easy to track payments through the mobile app.,,0,0,high
ACCT-0005201,2024-11-17,52.0,male,pacific,graduate,full_time,standard,online,True,False,617,4383.06,52416.88,,0.2089,66236.27,0.1359,24,3130.19,75124.57,1,0.0,76,8.0,"great customer service, will recommend to friends and family. very smooth application process and the agent was helpful.",,0,0,high
